year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
2007,0.278073554156786,,,,,,,,,
2008,0.282061515208754,1.46913701991315,,,,,,,,
2009,0.3674500276405,1.64404550810492,3.73208945580237,,,,,,,
2010,0.300546431502204,1.72588010305426,3.84686402093806,6.35636794074307,,,,,,
2011,0.25931769627936,1.46887300310517,3.81069315671656,6.29350355637144,8.77809722196585,,,,,
2012,0.233169853999317,1.29654304540781,3.32300069471768,6.07515023419132,8.53670459791374,10.7948276476755,,,,
2013,0.352219863251299,1.49087990645458,3.45573834448742,6.0205857542586,8.82883339609098,11.0900929489028,13.0540400312645,,,
2014,0.313048426411773,1.72466589696317,3.66503438030036,6.09030182847888,8.7132854256965,11.2884595798001,13.2538638655177,14.9149204621812,,
2015,0.322749237839156,1.62393417304066,3.97613978282817,6.29533220879662,8.77500007355441,11.1864639980752,13.4239847672198,15.0684159392738,16.3962083319989,
2016,0.3203855367932,1.62260738649647,3.80727312770427,6.56746838764414,8.83763793769054,11.1059738115421,13.2083558930225,15.1039716430652,16.4430805821174,17.5127445707079
2017,0.370537929267629,1.73539139352425,3.98142121881554,6.60583914916145,9.39283183894438,11.4842430112544,13.451247730682,15.2171217972193,16.7840639343789,17.8561956999808
2018,0.303852626617325,1.73778113226534,3.96729000652734,6.60408080755704,9.23599305097702,11.792828751211,13.5940877198241,15.2158288595547,16.6511917019746,17.903992839169
2019,0.342498655392292,1.64018500605112,4.05875212620311,6.66454827104779,9.28595377670275,11.7319066276912,13.906015081652,15.3827924419281,16.705668120799,17.8451073892069
2020,0.338182510696179,1.741825750076,3.92119823322017,6.76227459022066,9.370172806612,11.7741522169698,13.8452110584728,15.6618714303664,16.8470857848249,17.8995880850225
2021,0.342373526702582,1.75079770800257,4.08333169276387,6.66025378712547,9.50448172424938,11.8852178473713,13.9397785744717,15.6547334133355,17.1140400922338,18.059169857121
2022,0.358162509428474,1.7815152346355,4.12085937520458,6.84897119732426,9.42282181924133,12.0124214037562,14.0432911640395,15.7324735163391,17.0929904575719,18.2434394080442
2023,0.349566048766434,1.80417110050642,4.15859674541879,6.91138744883223,9.62892768416964,11.9576957283875,14.1716344090769,15.8271959794029,17.1725253255011,18.2653620248554
2024,0.331366165754167,1.73596741408937,4.10866132734375,6.84779540310079,9.54017319857169,11.9791969732025,13.9518484865226,15.7533632591857,17.0881458283494,18.1630397487038
2025,0.366463506757359,1.75860725016644,4.09074328435307,6.89232316757055,9.60772058150414,12.0607769492395,14.145468687592,15.7810067814384,17.231446688605,18.2701225474675
2026,0.342216434312036,1.79754504026966,4.09658322946151,6.83309925877356,9.6330326290727,12.0815889264161,14.1587380373948,15.8686297253407,17.1623446219273,18.3022251030423
2027,0.344902331852116,1.74963990745031,4.16152130006289,6.83998980402259,9.59742732670104,12.1295893500269,14.2279733739618,15.9312936520567,17.293486400102,18.3142205181553
2028,0.322255343588371,1.71560467455954,4.02213860750169,6.79933979953939,9.46495487743172,11.9451715832376,14.1020906448911,15.8203816562385,17.1780010675893,18.2485961857907
2029,0.315434699865819,1.65238281113997,3.97077356930084,6.66363298946479,9.44924690085205,11.8805940520547,14.0114985162652,15.7809883265501,17.1606172218164,18.2298007446922
2030,0.324779823529502,1.65087599868687,3.90407642877171,6.61973013622425,9.32509560756981,11.8953130134098,13.9599141014794,15.7123785395606,17.1366811358333,18.2190486566195
2031,0.33270253548325,1.67891284807125,3.90077114761886,6.57409884414032,9.29558434461551,11.7536746419403,13.9484997597507,15.6543069608598,17.0610990624105,18.1743799090619
2032,0.390609037115181,1.80460051537426,4.07814241229048,6.72027480225224,9.39539198280857,11.8861266596179,13.9979378561647,15.7898184757302,17.1530953935471,18.2880065253312
2033,0.373472374171319,1.9190105672722,4.23377977476571,6.91642154609315,9.56904662644333,12.0168995089754,14.1555630037983,15.8818062102551,17.350889048216,18.4315755678731
2034,0.364260945467944,1.84900260830006,4.32601592486829,6.98687910852218,9.6376618883175,12.034288055604,14.1236075810171,15.8780433002509,17.2668877574653,18.4094352507738
2035,0.345280577032507,1.79849611662281,4.23071656391006,7.10306244273049,9.73215943715238,12.1107268443314,14.1608801980376,15.8672934251761,17.2690062732301,18.3634307523136
2036,0.307509608489149,1.67270012021024,4.03222605201138,6.83184671029377,9.63768065182617,12.0027171596244,14.0193626970999,15.7068845559897,17.0521423883268,18.1668571794169
2037,0.328323470452771,1.63435136427828,3.95076301957234,6.75514103859963,9.51936048875651,12.0550813816165,14.0828453716486,15.7490917436997,17.071975259844,18.137030379428
2038,0.322823431363349,1.6675649663589,3.85368085205168,6.57951911692635,9.30338568441081,11.785340957025,13.9501058901007,15.6103361299566,16.9428546457622,18.0001665180029
2039,0.340383028234332,1.69703704504512,3.94896836684393,6.52358229318024,9.24945526391517,11.7453488007356,13.8928174117771,15.6910658095965,17.0133331887738,18.0647584333955
2040,0.315666057957423,1.68958877174716,3.94035086506214,6.59057544995302,9.15878469451018,11.6538910461971,13.8139387770687,15.6075775013918,17.0279980130681,18.0802829756895
2041,0.338303064322618,1.65778324509656,3.97171628890025,6.63619646003046,9.27442199257254,11.6395775657926,13.7869331980307,15.570332563216,17.0118257503058,18.1352717175391
2042,0.358570139162315,1.77785412831582,4.00893438674655,6.73442187090637,9.4046739451918,11.8087764722043,13.8223547528499,15.5969234645222,17.0343288540871,18.1611791762296
2043,0.323918373208884,1.74781408594548,4.06509758523386,6.67431641310001,9.42973489462329,11.8213408108563,13.8964323682304,15.5593907852524,16.9930959854429,18.1151623131369
2044,0.329453203731823,1.66856051955283,4.03413659813188,6.75117651489763,9.35204995982033,11.8119136431424,13.8555816037526,15.56790445219,16.9157465678891,18.0433316781702
2045,0.319522053418185,1.67480014079587,3.92308786528537,6.73162268294812,9.41420350798398,11.764044298962,13.8795276279667,15.5650197496351,16.9165866237771,17.9816502819877
2046,0.34168098141566,1.70562042963492,4.01206559584282,6.68431295196922,9.47929500490227,11.9479192833449,13.9679719234184,15.71595876453,17.0765244827556,18.1394455678627
2047,0.335407242039398,1.7422694184324,4.02294093407325,6.74310016406297,9.42923597412816,11.9752043194266,14.1073301499971,15.7638349053116,17.1987517939961,18.2704568231605
2048,0.358637112309955,1.75565215326975,4.08425212405817,6.74466289752474,9.44076296981465,11.8840564865409,14.0748908815085,15.8476893348363,17.1949059922428,18.3086333932752
2049,0.314160880557518,1.74739921381526,4.04093119953794,6.76443192807327,9.40683812756421,11.8336800173577,13.9139794367338,15.7273201435219,17.143166894191,18.1846075032963
2050,0.305699475945707,1.58448259757733,3.90677909024523,6.51818721056732,9.18719948478073,11.5569805465829,13.5859942512334,15.3137396120823,16.7657924733252,17.9454351016763
2051,0.393398841154604,1.73246199207951,3.89701354772342,6.650387053208,9.27769787905928,11.7106952553794,13.743189880737,15.4473853336212,16.8218489978289,17.9924939193281
2052,0.429224340757316,2.02011002612087,4.21980288038746,6.82285118690065,9.55656536753584,11.9696859745624,14.0285104081696,15.6782801316003,17.042999119665,18.1382965369464
2053,0.369432706786021,1.98940809308156,4.47874250820391,7.00520162844903,9.57753572073853,12.0830394662501,14.1143368110435,15.8154456649878,17.1346622926697,18.1949640277206
2054,0.405312432177944,1.92248366835541,4.53858044828282,7.39080331721949,9.87122671874492,12.1934139389953,14.3032968669607,15.9851183041712,17.3339747561234,18.3486431356356
2055,0.361418124980929,1.92379443493814,4.34111499513278,7.33004532862382,10.1149358197871,12.3102943067889,14.2893713026799,16.0319136669848,17.362927657529,18.412554257898
2056,0.386562458287123,1.86118708527224,4.38805225116134,7.178261886047,10.1241281893278,12.6087342140061,14.4393365688878,16.0684912301178,17.4518482895303,18.4935540976314
2057,0.390134485501332,1.91488619900138,4.30906230919924,7.23521672426434,9.9694784969863,12.6090936099561,14.7338639798087,16.2377905525635,17.5305447738787,18.6021893310736
2058,0.335232328391737,1.8467967001106,4.2828841324649,7.02245006881019,9.9047447459628,12.3390696026499,14.5713950384262,16.2905657726729,17.4804280457273,18.5161568546429
2059,0.367036729861858,1.78560962830238,4.26846735871738,7.08873748983779,9.79229077469699,12.3746070074601,14.4314566560111,16.2553937218932,17.5999259723014,18.5532614173434
2060,0.387450773173042,1.84877126984882,4.14974874973263,6.99520546029887,9.78627414210528,12.2299851722782,14.435843867751,16.1479083973613,17.6091000265812,18.6904531028397
2061,0.39016945627992,1.93349337576874,4.29725189218944,6.9924014732157,9.83915703065988,12.3904533576527,14.4892464383331,16.3073387100745,17.6656903839465,18.8147450228026
2062,0.332503991023383,1.8329800435347,4.26212489743989,6.97066800183158,9.61397101019353,12.1763087451969,14.3207560074701,16.0316474220758,17.4870157934486,18.5510632420091
2063,0.415458871740457,1.8097160561083,4.28165617324186,7.09800686482189,9.77139124111926,12.156446423028,14.3512975721784,16.1252953515464,17.4867880796429,18.6066034365497
2064,0.36517468182801,1.96845729942911,4.23836291863933,7.1341075118694,9.92975127706356,12.3635000540881,14.3978717237477,16.2017878537351,17.6205711789424,18.6850967577091
2065,0.369480209863328,1.85992203379052,4.45190640656735,7.09280913746056,9.96915264077706,12.4908483631446,14.5405399276014,16.1984533250408,17.639290720582,18.7437073414944
2066,0.406642997970959,1.90459388658523,4.31914297948267,7.31981879416028,9.89347089153903,12.4414121119078,14.5924719215683,16.2683447759228,17.5886522596878,18.6908123570322
2067,0.38621010458457,1.95625080592643,4.35207926370129,7.16692209328496,10.0863590254482,12.3613903064248,14.5239957424016,16.2618234212089,17.573943764421,18.614009150868
2068,0.377360145868788,1.9096590464195,4.40818237001422,7.17978988121406,9.9489491895167,12.5722675428349,14.4940705122048,16.2876955853324,17.6582126329429,18.6953562647268
2069,0.368203142292714,1.85987865211109,4.30463219257369,7.21190158332758,9.93548297834599,12.4208955034387,14.6477778658569,16.2214901524983,17.6228012339837,18.6953880967312
2070,0.362945625927186,1.84892931230014,4.26965014261007,7.11038339289432,9.998148637726,12.4548700382041,14.5520546735098,16.3904455100377,17.6164403819173,18.7296381768707
2071,0.359493178961216,1.81969576769387,4.24593704927065,7.08311730451361,9.89172270426761,12.5045021797713,14.5767171815659,16.3087221531941,17.7611544247179,18.740751972487
2072,0.42148137384527,1.91175540047427,4.29752322956224,7.10005814602079,9.89471093238035,12.4274674454942,14.6125844325457,16.3097055979291,17.6742325754152,18.7826106175604
2073,0.374946530510036,1.96431370209919,4.32803544952485,7.09765115981572,9.84805801057674,12.3501908640307,14.50011449469,16.2787189846426,17.6042144074097,18.650198157574
