year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
2060,0.546260374880506,2.27129226859868,4.58749906757478,6.86486549095535,8.82167953260129,10.4509125399459,11.6476816910184,12.6853756826744,13.5447112885823,14.2555318186167
2061,0.546015007512354,2.26393694383625,4.49294922319121,6.76110408195637,8.74454452692407,10.3103262431968,11.6219693853671,12.5847630498787,13.4448077959975,14.1687065576006
2062,0.553731051781721,2.17258673352047,4.29069595918467,6.3939652493679,8.25583050921792,9.83874056812454,11.1400972910513,12.1519303788543,12.9996103165515,13.7359218469292
2063,0.568508175064394,2.16078516258851,4.15194256835064,6.16120296031243,7.88920184973264,9.3322034360265,10.5854000254298,11.576342882294,12.4424706776898,13.1562955789106
2064,0.564770781113135,2.26322363468306,4.31740003799024,6.26717317503475,7.9602792183481,9.37625885729745,10.5118393083616,11.4577371776036,12.2811249411393,12.9380595453359
2065,0.569414589008173,2.32275189762463,4.53919025328112,6.57931801146813,8.28642392602242,9.67239721835187,10.7708959101513,11.6468100670705,12.4038635389303,12.9949405680366
2066,0.544220940666452,2.28003713038717,4.5350369094604,6.68997339343668,8.43956203608802,9.84050090249005,10.974492309549,11.8494280737385,12.5725134698535,13.1435914926092
2067,0.548124760335925,2.22739342440627,4.45096952480438,6.60523305968819,8.42659697177879,9.8568264060051,10.9380545169096,11.8410680846966,12.5747363951605,13.1991653416198
2068,0.5550878213627,2.24148678550586,4.39961161910227,6.53480766618134,8.37243021023897,9.88353268031416,10.9469364383659,11.8095203098,12.5032444276186,13.1057720431713
2069,0.557499123546761,2.22109631533542,4.35823601830803,6.43673707059905,8.28184267350977,9.77858980043846,10.9272040934266,11.7679490444356,12.4630101113183,13.03342624842
2070,0.559842185745857,2.23431880002368,4.3450889874745,6.40209670243647,8.16998518471387,9.66400206976749,10.8638303913532,11.7133175464559,12.4298528568698,12.9987102519186
2071,0.557833928247576,2.17975111821641,4.22124828751738,6.19835074424879,7.89692188203467,9.34933115245588,10.5246830025807,11.4816055468457,12.1844937562272,12.7745684590021
2072,0.560888433263417,2.21434377470776,4.29068401715059,6.2934274833156,8.01260318735169,9.3906866077672,10.5068919885711,11.4308322038998,12.1778168070269,12.7512272270424
2073,0.543798957748833,2.23340304526854,4.33011973314723,6.33874495238515,8.02703223116504,9.41981188190391,10.5530130417227,11.4219148006195,12.1307159693032,12.745114576749
2074,0.547828606328367,2.11906429302056,4.13837687413622,6.07490112360745,7.70770905113307,9.05228879246357,10.1531385544333,11.0333652013557,11.6942369470675,12.3295226881594
2075,0.546827275369029,2.10909964840215,4.02468034363691,5.93979622380654,7.5653895413569,8.85698617992287,9.93499609793415,10.825380153068,11.5324571632832,12.1224932707248
2076,0.545024389683206,2.10133597516753,4.00109269167659,5.80036899768538,7.38979343966138,8.66268863646823,9.73199821268694,10.6025099918574,11.3077508388328,11.8970211182006
2077,0.549475874293503,2.0490969543113,3.90956175368648,5.66539372370936,7.1474963190152,8.44254956002338,9.45920273765619,10.3052952671551,11.041491337672,11.6007067852035
2078,0.563522529422828,2.1553185302194,4.06234285989598,5.85012519163642,7.37472025234178,8.57546642945381,9.58166324193049,10.3991826219277,11.1179920993275,11.642606566432
2079,0.552190547829631,2.20652023543372,4.22479398739161,6.08200816863713,7.63266110065441,8.90480719538887,9.87446278553412,10.7139388845231,11.3551765959732,11.9109364775202
2080,0.540347366538166,2.07985763962276,4.07186518016314,5.9445593775585,7.48476054655354,8.75203292834917,9.76392839677548,10.5075902889615,11.1791095987092,11.7152409874764
2081,0.548581751936201,2.05652043689751,3.93566651945511,5.7850184641876,7.36816125785491,8.58839552679121,9.56187402889819,10.3530962179737,10.9703283461205,11.4871912843609
2082,0.54507679521221,2.03323876831534,3.83920258780492,5.55608911397671,7.07601025447274,8.26235374651429,9.19842220945352,9.97646645643669,10.6113515657025,11.1697399061495
2083,0.541532421892507,2.00820752175265,3.78171932471148,5.45406732869881,6.89099177558023,8.10059744203211,9.01170029759816,9.7535497635972,10.3891826188731,10.9122779988441
2084,0.548152860460035,2.03317348709226,3.81693772719157,5.48151216679832,6.89478261772832,8.03895450056126,8.9491435834677,9.67815768048152,10.2445549055503,10.7509541083381
2085,0.535771280199295,2.0476113986595,3.85576692448264,5.53015218169952,6.93562598585667,8.12579454870544,9.03472435571843,9.74129313307189,10.3581180217658,10.7777535916431
