year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
1860,0.195647610373179,1.07781806139182,2.76403504932593,5.05392118801499,7.58667187904282,9.81986232305938,11.812917438419,13.4544055722828,14.9919240616312,16.2843415030305
1861,0.23530734325922,1.14460485572603,2.79579583047235,4.98994755139744,7.41549412737077,9.8110913886534,11.8023373767647,13.5039274394567,14.8290581620917,16.0672216762012
1862,0.279699875396854,1.34700230191013,3.02332281184889,5.17342980897733,7.51310997948736,9.82808413183774,11.9849730594164,13.6569825867762,15.0460089411752,16.1235056197138
1863,0.277936288486158,1.47026125163567,3.33286590642752,5.47212817717191,7.74993211440328,9.99241504003503,12.0592192007909,13.8601582749836,15.2392841671464,16.3461568159145
1864,0.325435170851308,1.55039647762804,3.64732090017758,5.97229895270735,8.20798032030311,10.4098634729693,12.3715311839114,14.1151892642412,15.5760765241023,16.6829716349344
1865,0.246493609350087,1.51055147658948,3.54516688396696,6.05482837566296,8.3997136261597,10.4902420053153,12.3884979676752,14.0349549806872,15.4655334300912,16.6604210400315
1866,0.199825289699888,1.20532822627518,3.27351796521466,5.67139236441659,8.17942349207687,10.3017567523645,12.0848013335926,13.681072737411,15.0641264749275,16.2632879304126
1867,0.204014030428571,1.08361577966393,2.83463847253005,5.34254442791222,7.76046430186979,10.0371622186443,11.907480442304,13.4315129262715,14.8008862218522,15.9576606322237
1868,0.279591105808848,1.26959003275681,2.94573922790295,5.28922147822241,7.960360097116,10.2423388099954,12.2648521826145,13.8269183699057,15.1033118312824,16.2124493306251
1869,0.227792304278481,1.3353331694801,3.03215648305065,5.11938434298301,7.5661493578715,10.0500471617139,12.0329589274803,13.7363109067019,15.0495846614035,16.1177371664871
1870,0.234843187944582,1.226880875987,3.15751799657048,5.26057576679736,7.44688844096405,9.74246786572299,11.9140549864527,13.6068071197543,15.0220325017782,16.0965131456947
1871,0.240349804220282,1.26985112483533,3.03596819388676,5.45582961377141,7.63071738010299,9.67785276867089,11.6932179976579,13.5466339050144,14.95655388195,16.101262525624
1872,0.208248445730467,1.20787955112064,2.99686762955553,5.18702170634055,7.68348762128006,9.72213159779106,11.5079415367424,13.2390489048592,14.7954309647739,15.9890479225922
1873,0.280110723182084,1.28664105085647,3.15476962337065,5.45019903449855,7.78772436537541,10.1762278302715,11.9913458121315,13.5247173944583,14.9723089089282,16.2377329368696
1874,0.307503060596963,1.52296298100982,3.35414808100569,5.73498702000625,8.15187653031132,10.3608249660635,12.4542790214161,13.9761230489358,15.2342101660892,16.3843269066075
1875,0.228549631741372,1.41655756683079,3.40585122587146,5.60932275669883,8.01808715376776,10.2310703594472,12.1409177303635,13.9078778289331,15.1677548644256,16.177100992988
